DateTime	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
2023-03-23 20:57:10.449208	740.8	721.6	724.6	751.7	880.7	753.3	754.8	869.3	796.0	735.3	734.3	810.3	791.3	745.3	771.4	813.9	800.1	0.0	769.9	799.7	1261.0	1106.1	1148.0	1138.0	736.8	716.0	723.5	727.5	793.6	774.4	754.2	788.0
2023-03-23 21:17:21.603946	740.0	720.4	718.2	756.6	880.6	746.4	743.6	841.9	823.5	763.6	736.3	827.1	786.9	734.4	763.9	788.7	797.5	0.0	771.8	802.7	1199.0	1076.9	1108.9	1113.9	770.4	733.0	729.9	752.7	811.9	787.4	759.7	806.9
2023-03-23 21:37:31.858556	788.7	730.3	729.3	766.5	869.7	748.7	747.5	848.8	832.8	767.7	754.3	840.9	785.8	747.1	769.6	806.9	823.0	0.0	789.0	807.5	1226.1	1106.6	1140.6	1164.6	758.2	735.2	735.7	765.3	825.0	800.7	779.3	824.0
2023-03-23 21:57:42.562781	725.4	705.9	706.7	732.6	861.8	748.9	753.4	837.8	810.8	740.5	732.6	817.3	789.2	737.5	764.7	798.7	808.0	2533.6	772.8	800.1	1206.9	1110.8	1123.8	1110.4	776.8	744.0	737.9	757.3	822.1	785.0	761.3	814.4
2023-03-23 22:17:53.886599	748.8	726.4	731.0	769.9	848.5	764.2	757.1	855.6	850.9	791.0	766.5	868.1	815.5	754.6	782.1	818.6	825.8	46.6	783.9	816.4	1209.6	1086.6	1146.5	1117.4	746.6	727.8	730.1	747.6	842.9	804.5	786.5	845.5
2023-03-23 22:38:04.073922	725.0	701.5	694.7	738.6	843.9	751.2	750.0	859.2	987.9	878.6	848.5	1438.7	800.7	741.7	778.8	798.7	814.4	5905.7	832.2	819.5	1225.6	1125.9	1152.8	1130.2	773.1	745.7	748.3	779.9	849.8	821.3	794.2	828.8
2023-03-23 22:58:14.860357	747.0	728.4	727.9	756.2	862.2	756.2	756.5	844.2	851.3	771.1	763.0	862.9	808.7	749.7	783.9	809.0	813.4	963.2	803.3	821.3	1261.9	1098.7	1171.7	1146.1	761.1	741.8	765.9	771.5	866.8	833.3	802.2	847.9
2023-03-23 23:18:25.822426	752.0	740.6	709.7	738.7	850.8	761.3	750.0	864.1	851.2	776.4	752.6	843.0	786.9	731.9	770.1	811.0	817.6	0.1	783.2	797.5	1277.1	1131.9	1153.2	1146.7	770.5	749.4	750.6	778.8	836.3	814.0	791.1	826.2
2023-03-23 23:38:36.213832	733.5	714.9	714.4	762.4	825.4	759.4	751.3	853.3	856.4	776.2	763.4	851.5	804.4	762.8	778.7	811.3	819.0	0.0	784.9	821.0	1248.9	1109.5	1124.4	1108.2	787.9	749.4	752.2	773.4	847.3	811.7	787.5	826.6
2023-03-23 23:58:46.947929	759.6	730.8	725.9	760.2	828.4	741.4	741.8	842.1	855.1	775.1	765.3	841.3	803.4	749.5	789.9	821.1	836.1	0.0	790.3	829.4	1255.0	1100.7	1112.8	1137.1	766.5	741.7	743.1	761.2	830.5	795.6	775.4	815.8
2023-03-24 00:18:58.285012	744.1	721.7	727.5	755.6	797.7	738.1	730.3	838.4	877.8	788.8	777.9	842.2	800.0	746.5	774.7	800.7	844.2	0.0	798.1	839.7	1252.7	1144.1	1137.5	1157.0	750.0	723.4	718.3	748.6	852.7	809.3	776.8	823.4
2023-03-24 00:39:09.955290	750.5	716.7	722.6	756.8	834.1	762.3	769.5	879.7	863.5	799.2	781.8	844.9	807.7	760.6	782.6	823.2	849.8	0.0	805.7	838.2	1273.2	1161.5	1183.9	1249.5	785.5	765.8	773.9	795.5	851.0	809.8	785.6	834.2
2023-03-24 00:59:20.584690	754.3	722.3	725.1	766.0	890.2	770.8	775.5	878.7	881.5	794.6	787.4	855.6	830.3	778.1	815.3	834.7	852.9	0.0	817.1	855.0	1258.0	1135.4	1165.9	1164.9	781.0	754.1	762.9	776.9	867.8	827.2	794.1	834.9
2023-03-24 01:19:30.720247	748.2	717.7	722.3	744.1	864.3	733.6	736.2	850.7	831.3	754.6	740.9	837.4	790.7	745.3	775.5	806.5	788.5	0.0	757.7	808.4	1207.2	1073.8	1109.6	1093.8	764.0	739.1	732.0	749.4	854.6	819.8	785.0	832.3
